title,category,description,tags,url
Machine Learning by Andrew Ng,Courses,The most popular machine learning course on Coursera. Learn the foundational concepts of ML including supervised learning unsupervised learning and best practices.,machine learning AI python data science beginner,https://www.coursera.org/learn/machine-learning
Deep Learning Specialization,Courses,Master deep learning and break into AI. Learn the foundations of deep learning understand how to build neural networks and lead ML projects.,deep learning neural networks AI TensorFlow python,https://www.coursera.org/specializations/deep-learning
CS50 Introduction to Computer Science,Courses,Harvard's introduction to the intellectual enterprises of computer science and the art of programming. Covers C Python SQL and more.,programming computer science beginner algorithms,https://cs50.harvard.edu/
Python for Everybody,Courses,Learn to Program and Analyze Data with Python. This specialization covers Python from basics to data access and manipulation.,python programming beginner data analysis,https://www.coursera.org/specializations/python
The Web Developer Bootcamp,Courses,The only course you need to learn web development. Full stack web development covering HTML CSS JavaScript Node.js and more.,web development full-stack JavaScript HTML CSS,https://www.udemy.com/course/the-web-developer-bootcamp/
React The Complete Guide,Courses,Dive in and learn React from scratch. Learn Reactjs Hooks Redux React Router Next.js and way more in this comprehensive course.,react javascript frontend web development,https://www.udemy.com/course/react-the-complete-guide-incl-redux/
Google Data Analytics Certificate,Courses,This is your path to a career in data analytics. Gain skills that are in demand in data analytics using industry tools and platforms.,data analytics SQL spreadsheets data visualization,https://www.coursera.org/professional-certificates/google-data-analytics
AWS Cloud Practitioner Essentials,Courses,Learn Amazon Web Services cloud fundamentals. Cloud concepts AWS core services security architecture pricing and support.,cloud computing AWS Amazon beginner certification,https://aws.amazon.com/training/classroom/aws-cloud-practitioner-essentials/
Cybersecurity for Everyone,Courses,This is a non-technical course that provides an introduction to cybersecurity. Learn the basics of how to protect systems and data.,cybersecurity security beginner fundamentals,https://www.coursera.org/learn/cybersecurity-for-everyone
iOS App Development with Swift,Courses,Learn Swift and build iOS apps. This comprehensive course covers Swift fundamentals UIKit SwiftUI and publishing to the App Store.,iOS swift mobile development apple,https://www.udemy.com/course/ios-13-app-development-bootcamp/
Complete Machine Learning and Data Science Bootcamp,Courses,Become a complete data scientist and machine learning engineer. Zero to mastery with Python scikit-learn pandas matplotlib.,machine learning data science python sklearn pandas,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/
Natural Language Processing Specialization,Courses,Break into NLP. Master cutting-edge NLP techniques through four courses featuring a combination of lectures labs and programming assignments.,NLP natural language processing AI deep learning,https://www.coursera.org/specializations/natural-language-processing
Ethical Hacking Course,Courses,Learn ethical hacking and penetration testing. Network scanning exploitation post-exploitation and reporting in this hands-on course.,ethical hacking penetration testing cybersecurity security,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/
Django for Beginners,Courses,Build websites with Python and Django. Learn Django fundamentals including models views templates and deployment.,django python web development backend,https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/
Graphic Design Masterclass,Courses,Learn graphic design with Adobe Photoshop Illustrator and InDesign. Master design principles typography color theory and layout.,graphic design adobe photoshop illustrator creative,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
Google UX Design Certificate,Courses,Launch your career in UX design. Build job-ready skills for an in-demand career in UX design as you learn the latest tools and processes.,UX design UI user experience google certificate,https://www.coursera.org/professional-certificates/google-ux-design
Blockchain Basics,Courses,A non-technical introduction to blockchain and cryptocurrency. Understand the fundamentals and how blockchain works.,blockchain cryptocurrency bitcoin technology,https://www.coursera.org/learn/blockchain-basics
SQL for Data Science,Courses,Learn SQL to work with data. Filter sort aggregate and join data using SQL queries across real datasets.,SQL database data science analytics,https://www.coursera.org/learn/sql-for-data-science
Flutter & Dart Complete Guide,Courses,Build native cross-platform iOS and Android apps from scratch with Flutter. Complete guide covering Dart Flutter widgets and more.,flutter dart mobile development cross-platform,https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/
Introduction to Artificial Intelligence,Courses,Explore the basics of AI and understand key concepts from machine learning computer vision to NLP and robotics.,AI artificial intelligence beginner overview,https://www.coursera.org/learn/introduction-to-ai
