title,category,description,tags,url
Hands-On Machine Learning with Scikit-Learn and TensorFlow,Books,A practical guide to machine learning using Python Scikit-Learn Keras and TensorFlow. Essential for ML practitioners.,machine learning python tensorflow scikit-learn practical,https://www.oreilly.com/library/view/hands-on-machine-learning/9781492032632/
Deep Learning by Ian Goodfellow,Books,The definitive textbook on deep learning. Covers mathematical foundations to advanced deep learning architectures.,deep learning neural networks AI mathematics,https://www.deeplearningbook.org/
Clean Code by Robert Martin,Books,A handbook of agile software craftsmanship. Learn how to write clean readable maintainable code that stands the test of time.,programming software engineering clean code best practices,https://www.amazon.com/Clean-Code-Handbook-Software-Craftsmanship/dp/0132350882
The Pragmatic Programmer,Books,Your journey to mastery. From journeyman to master with practical advice on software craftsmanship and career development.,programming software engineering career development,https://pragprog.com/titles/tpp20/the-pragmatic-programmer-20th-anniversary-edition/
Design Patterns Gang of Four,Books,Elements of Reusable Object-Oriented Software. The classic book defining the 23 foundational software design patterns.,software design patterns object-oriented architecture,https://www.amazon.com/Design-Patterns-Elements-Reusable-Object-Oriented/dp/0201633612
Artificial Intelligence A Modern Approach,Books,The most comprehensive up-to-date introduction to AI. Covers search planning learning knowledge representation and more.,AI artificial intelligence textbook algorithms,https://aima.cs.berkeley.edu/
Python Crash Course,Books,A hands-on project-based introduction to Python programming. Perfect for beginners who want to learn Python quickly.,python programming beginner projects,https://nostarch.com/python-crash-course-3rd-edition
The Art of War,Books,Sun Tzu's ancient Chinese military treatise on strategy tactics and philosophy. Timeless wisdom for strategy and leadership.,strategy philosophy leadership tactics classic,https://www.amazon.com/Art-War-Sun-Tzu/dp/1599869772
Atomic Habits,Books,An easy and proven way to build good habits and break bad ones. Tiny changes remarkable results for productivity and personal development.,productivity habits self-improvement personal development,https://jamesclear.com/atomic-habits
The Hitchhiker's Guide to the Galaxy,Books,A comedy science fiction series by Douglas Adams. Earthy Arthur Dent is whisked away by his alien friend Ford Prefect just before Earth is demolished.,sci-fi comedy fiction adventure classic,https://www.amazon.com/Hitchhikers-Guide-Galaxy-Douglas-Adams/dp/0345391802
Dune by Frank Herbert,Books,Set in the distant future amidst a feudal interstellar society. The story of Paul Atreides whose family accepts the stewardship of the planet Arrakis.,sci-fi epic fantasy politics ecology classic,https://www.amazon.com/Dune-Frank-Herbert/dp/0441013597
The Lord of the Rings,Books,J.R.R. Tolkien's epic high fantasy novel set in Middle-earth. The Fellowship of the Ring Two Towers and Return of the King.,fantasy epic adventure tolkien classic,https://www.amazon.com/Lord-Rings-J-R-R-Tolkien/dp/0618640150
Introduction to Algorithms CLRS,Books,The most widely used textbook on algorithms. Rigorous mathematical treatment of algorithms data structures and complexity.,algorithms data structures computer science mathematics,https://mitpress.mit.edu/books/introduction-algorithms-fourth-edition
Computer Networking A Top-Down Approach,Books,Teaches computer networking using a top-down approach starting with the application layer and working down to the physical layer.,networking computer science protocols internet,https://www.amazon.com/Computer-Networking-Top-Down-Approach-7th/dp/0133594149
The Phoenix Project,Books,A novel about IT DevOps and helping your business win. Bill an IT manager is tasked with rescuing a critical IT project.,devops IT management agile novel business,https://www.amazon.com/Phoenix-Project-DevOps-Helping-Business/dp/0988262592
Cracking the Coding Interview,Books,189 programming interview questions and solutions. Prepare for software engineering interviews at top tech companies.,programming interviews algorithms data structures career,https://www.amazon.com/Cracking-Coding-Interview-Programming-Questions/dp/0984782850
Cybersecurity Essentials,Books,A foundational overview of cybersecurity concepts tools and career paths. Perfect for those entering the cybersecurity field.,cybersecurity security fundamentals beginner,https://www.amazon.com/Cybersecurity-Essentials-Charles-Brooks/dp/1119362393
Data Science for Business,Books,Written by renowned data science experts it helps business people understand key concepts in data science and machine learning.,data science business analytics machine learning,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323
The Lean Startup,Books,How today's entrepreneurs use continuous innovation to create radically successful businesses. Essential for startup founders.,startup business entrepreneurship agile lean,https://theleanstartup.com/
Zero to One,Books,Notes on startups or how to build the future. Peter Thiel's thoughts on startups innovation and building companies.,startup entrepreneurship innovation business technology,https://www.amazon.com/Zero-One-Notes-Startups-Future/dp/0804139296
