title,category,description,tags,url
Elden Ring,Games,An open world action RPG set in the Lands Between. Explore a massive fantasy world with challenging combat and deep lore.,open world RPG fantasy souls-like action,https://store.steampowered.com/app/1245620/Elden_Ring/
The Elder Scrolls V Skyrim,Games,An open world action RPG where you play as the Dragonborn and battle dragons while exploring the vast province of Skyrim.,open world RPG fantasy dragons adventure,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/
The Witcher 3 Wild Hunt,Games,An open world RPG following Geralt of Rivia as he searches for his adopted daughter while battling monsters and navigating politics.,open world RPG fantasy story-rich adventure,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/
Dragon Age Inquisition,Games,You are the Inquisitor, tasked with saving the world from itself. An epic open world RPG with complex political choices.,open world RPG fantasy party-based story-rich,https://store.steampowered.com/app/1222690/Dragon_Age_Inquisition/
Cyberpunk 2077,Games,An open world action adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification.,open world RPG cyberpunk action sci-fi,https://store.steampowered.com/app/1091500/Cyberpunk_2077/
Red Dead Redemption 2,Games,An epic tale of life in America's unforgiving heartland. The game's vast and atmospheric world will test your limits.,open world adventure western story-rich,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/
God of War,Games,His vengeance against the Gods of Olympus years behind him, Kratos now lives as a man in the realm of Norse Gods and monsters.,action adventure mythology story-rich,https://store.steampowered.com/app/1593500/God_of_War/
Hades,Games,Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from Supergiant Games.,roguelike action dungeon-crawler indie mythology,https://store.steampowered.com/app/1145360/Hades/
Hollow Knight,Games,A challenging 2D action adventure through a vast ruined kingdom of insects and heroes. Forge your own path in Hallownest.,platformer action adventure indie metroidvania,https://store.steampowered.com/app/367520/Hollow_Knight/
Minecraft,Games,Minecraft is a game about placing blocks and going on adventures. Explore randomly generated worlds and build amazing things.,sandbox survival building crafting creative,https://www.minecraft.net/
Stardew Valley,Games,You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life.,simulation farming RPG indie relaxing,https://store.steampowered.com/app/413150/Stardew_Valley/
Celeste,Games,Help Madeline survive her inner demons on her journey to the top of Celeste Mountain in this super-tight platformer from the makers of TowerFall.,platformer indie challenging story-rich,https://store.steampowered.com/app/504230/Celeste/
Among Us,Games,An online multiplayer social deduction game set in a space-themed setting where players work together to complete tasks,multiplayer social deduction space party,https://store.steampowered.com/app/945360/Among_Us/
Valorant,Games,A 5v5 character-based tactical shooter where precision gunplay meets unique agent abilities. Free to play competitive FPS.,FPS tactical shooter competitive multiplayer,https://playvalorant.com/
League of Legends,Games,Join 180 million players in the defining multiplayer online battle arena game. Strategize with your team to destroy the enemy Nexus.,MOBA strategy competitive multiplayer,https://www.leagueoflegends.com/
Counter-Strike 2,Games,The newest version of the classic tactical shooter. Join millions of players in competitive bomb-defusal or hostage rescue scenarios.,FPS tactical shooter competitive multiplayer,https://store.steampowered.com/app/730/CounterStrike_2/
Sekiro Shadows Die Twice,Games,Carve your own clever path to vengeance in the award-winning adventure from developer FromSoftware.,action adventure souls-like samurai japan,https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice/
Baldurs Gate 3,Games,Gather your party and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival.,RPG fantasy turn-based D&D story-rich,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/
Resident Evil Village,Games,Set a few years after the horrifying events in the critically acclaimed Resident Evil 7, the all-new story begins with Ethan Winters.,horror action survival first-person,https://store.steampowered.com/app/1196590/Resident_Evil_Village/
Fortnite,Games,Battle royale game where 100 players fight to be the last person standing. Features building mechanics and colorful graphics.,battle-royale action multiplayer free-to-play,https://www.fortnite.com/
